Cohort,Settlement.Date,Family,Facility,Tank,TaskID,Inventory.Date,Age.Month,Total.Animals,Mean.Size
2019,9/10/2019,GR14 X OR45,MCR,B26,Inventory_3,5/2/2020,7,330,7.787
2019,9/10/2019,OR68 X OR57,MCR,B32,Inventory_3,5/2/2020,7,83,12.32
2019,8/21/2019,OR94 X OR74,MCR,C39,Inventory_3,5/2/2020,8,42,17.073
2019,8/21/2019,OR94 X OR87,MCR,B05,Inventory_3,5/2/2020,8,98,8.593
2019,9/10/2019,OR68 X OR45,MCR,B12,Inventory_3,5/2/2020,7,19,10.59
2020,6/11/2020,GR26 X GR17,MCR,B40,Inventory_0,6/11/2020,0,24300,0
2020,6/11/2020,GR26 X GR17,MCR,C25,Inventory_0,6/11/2020,0,24300,0
2020,6/11/2020,GR26 X GR24,MCR,B40,Inventory_0,6/11/2020,0,20400,0
2020,6/11/2020,GR26 X GR24,MCR,C21,Inventory_0,6/11/2020,0,20400,0
2020,6/11/2020,GR26 X OR14,MCR,B09,Inventory_0,6/11/2020,0,21600,0
2020,6/11/2020,GR26 X OR14,MCR,C31,Inventory_0,6/11/2020,0,21600,0
2020,6/11/2020,GR26 X OR44,MCR,B02,Inventory_0,6/11/2020,0,22800,0
2020,6/11/2020,GR26 X OR44,MCR,B20,Inventory_0,6/11/2020,0,22800,0
2020,6/11/2020,GR26 X OR44,MCR,B28,Inventory_0,6/11/2020,0,22800,0
2020,6/25/2020,GR02 X GR20,MCR,B07,Inventory_0,6/25/2020,0,2400,0
2020,6/25/2020,GR02 X OR91,MCR,B18,Inventory_0,6/25/2020,0,2000,0
2020,7/9/2020,GR16 X GR07,MCR,B33,Inventory_0,7/9/2020,0,8000,0
2020,7/9/2020,GR27 X GR07,MCR,B11,Inventory_0,7/9/2020,0,23000,0
2020,7/9/2020,GR27 X GR07,MCR,B16,Inventory_0,7/9/2020,0,23000,0
2020,7/9/2020,GR27 X GR07,MCR,B27,Inventory_0,7/9/2020,0,23000,0
2020,7/9/2020,GR27 X GR07,MCR,C26,Inventory_0,7/9/2020,0,23000,0
2020,7/9/2020,GR27 X GR09,MCR,B15,Inventory_0,7/9/2020,0,22950,0
2020,7/9/2020,GR27 X GR09,MCR,B36,Inventory_0,7/9/2020,0,22950,0
2020,7/9/2020,GR27 X GR09,MCR,B39,Inventory_0,7/9/2020,0,22950,0
2020,7/9/2020,GR27 X GR09,MCR,C36,Inventory_0,7/9/2020,0,22950,0
2020,7/9/2020,GR27 X GR11,MCR,B01,Inventory_0,7/9/2020,0,15200,0
2020,7/9/2020,GR27 X GR11,MCR,B06,Inventory_0,7/9/2020,0,15200,0
2020,7/9/2020,GR27 X GR12,MCR,B04,Inventory_0,7/9/2020,0,23466,0
2020,7/9/2020,GR27 X GR12,MCR,C23,Inventory_0,7/9/2020,0,23466,0
2020,7/9/2020,GR27 X GR12,MCR,C29,Inventory_0,7/9/2020,0,23466,0
2020,7/9/2020,GR27 X OR50,MCR,B21,Inventory_0,7/9/2020,0,21375,0
2020,7/9/2020,GR27 X OR50,MCR,B24,Inventory_0,7/9/2020,0,21375,0
2020,7/9/2020,GR27 X OR50,MCR,C30,Inventory_0,7/9/2020,0,21375,0
2020,7/9/2020,GR27 X OR50,MCR,C35,Inventory_0,7/9/2020,0,21375,0
2020,7/9/2020,GR28 X OR50,MCR,B29,Inventory_0,7/9/2020,0,9600,0
2020,7/30/2020,GR18 X GR13,MCR,B03,Inventory_0,7/30/2020,0,25000,0
2020,7/30/2020,GR18 X GR13,MCR,B25,Inventory_0,7/30/2020,0,25000,0
2020,7/30/2020,GR18 X GR13,MCR,B30,Inventory_0,7/30/2020,0,25000,0
2020,7/30/2020,GR18 X GR13,MCR,C10,Inventory_0,7/30/2020,0,25000,0
2020,7/30/2020,GR18 X GR17,MCR,B08,Inventory_0,7/30/2020,0,25000,0
